Config  47 | WITH OT              |    22.13 sec | ✅
Config  48 | WITHOUT OT (PLAIN)   |    28.94 sec | ✅
Config  48 | WITH OT              |    21.13 sec | ✅
Config  49 | WITHOUT OT (PLAIN)   |    25.39 sec | ✅
Config  49 | WITH OT              |    26.24 sec | ✅
Config  50 | WITHOUT OT (PLAIN)   |    34.44 sec | ✅
Config  50 | WITH OT              |    27.15 sec | ✅
Config  51 | WITHOUT OT (PLAIN)   |    25.78 sec | ✅
Config  51 | WITH OT              |    19.32 sec | ✅
Config  52 | WITHOUT OT (PLAIN)   |    24.93 sec | ✅
Config  52 | WITH OT              |    21.74 sec | ✅
Config  53 | WITHOUT OT (PLAIN)   |    28.75 sec | ✅
Config  53 | WITH OT              |    21.24 sec | ✅
Config  54 | WITHOUT OT (PLAIN)   |    33.28 sec | ✅
Config  54 | WITH OT              |    29.25 sec | ✅
Config  55 | WITHOUT OT (PLAIN)   |    18.34 sec | ✅
Config  55 | WITH OT              |    16.89 sec | ✅
Config  56 | WITHOUT OT (PLAIN)   |    24.39 sec | ✅
Config  56 | WITH OT              |    26.42 sec | ✅
Config  57 | WITHOUT OT (PLAIN)   |    28.11 sec | ✅
Config  57 | WITH OT              |    25.72 sec | ✅
Config  58 | WITHOUT OT (PLAIN)   |    21.50 sec | ✅
Config  58 | WITH OT              |    31.15 sec | ✅
Config  59 | WITHOUT OT (PLAIN)   |    37.64 sec | ✅
Config  59 | WITH OT              |    24.76 sec | ✅
Config  60 | WITHOUT OT (PLAIN)   |    19.66 sec | ✅
Config  60 | WITH OT              |    34.38 sec | ✅
Config  61 | WITHOUT OT (PLAIN)   |    26.59 sec | ✅
Config  61 | WITH OT              |    26.67 sec | ✅
Config  62 | WITHOUT OT (PLAIN)   |    27.04 sec | ✅
Config  62 | WITH OT              |    31.21 sec | ✅
Config  63 | WITHOUT OT (PLAIN)   |    19.61 sec | ✅
Config  63 | WITH OT              |    30.90 sec | ✅
Config  64 | WITHOUT OT (PLAIN)   |    29.55 sec | ✅
Config  64 | WITH OT              |    19.58 sec | ✅
Config  65 | WITHOUT OT (PLAIN)   |    34.33 sec | ✅
Config  65 | WITH OT              |    51.05 sec | ✅
Config  66 | WITHOUT OT (PLAIN)   |    20.65 sec | ✅
Config  66 | WITH OT              |    18.97 sec | ✅
Config  67 | WITHOUT OT (PLAIN)   |    27.14 sec | ✅
Config  67 | WITH OT              |    27.33 sec | ✅
Config  68 | WITHOUT OT (PLAIN)   |    25.31 sec | ✅
Config  68 | WITH OT              |    22.71 sec | ✅
Config  69 | WITHOUT OT (PLAIN)   |    19.24 sec | ✅
Config  69 | WITH OT              |    31.11 sec | ✅
Config  70 | WITHOUT OT (PLAIN)   |    21.70 sec | ✅
Config  70 | WITH OT              |    33.64 sec | ✅
Config  71 | WITHOUT OT (PLAIN)   |    28.17 sec | ✅
Config  71 | WITH OT              |    28.52 sec | ✅
Config  72 | WITHOUT OT (PLAIN)   |    20.48 sec | ✅
Config  72 | WITH OT              |    29.41 sec | ✅
Config  73 | WITHOUT OT (PLAIN)   |    18.37 sec | ✅
Config  73 | WITH OT              |    25.49 sec | ✅
Config  74 | WITHOUT OT (PLAIN)   |    26.70 sec | ✅
Config  74 | WITH OT              |    28.07 sec | ✅
Config  75 | WITHOUT OT (PLAIN)   |    26.65 sec | ✅
Config  75 | WITH OT              |    26.86 sec | ✅
Config  76 | WITHOUT OT (PLAIN)   |    23.00 sec | ✅
Config  76 | WITH OT              |    26.55 sec | ✅
Config  77 | WITHOUT OT (PLAIN)   |    41.32 sec | ✅
Config  77 | WITH OT              |    39.90 sec | ✅
Config  78 | WITHOUT OT (PLAIN)   |    24.06 sec | ✅
Config  78 | WITH OT              |    35.54 sec | ✅
Config  79 | WITHOUT OT (PLAIN)   |    37.35 sec | ✅
Config  79 | WITH OT              |    30.58 sec | ✅
Config  80 | WITHOUT OT (PLAIN)   |    32.02 sec | ✅
Config  80 | WITH OT              |    34.23 sec | ✅
Config  81 | WITHOUT OT (PLAIN)   |    40.69 sec | ✅
Config  81 | WITH OT              |    39.48 sec | ✅
Config  82 | WITHOUT OT (PLAIN)   |    37.93 sec | ✅
Config  82 | WITH OT              |    30.05 sec | ✅
Config  83 | WITHOUT OT (PLAIN)   |    27.24 sec | ✅
Config  83 | WITH OT              |    39.90 sec | ✅
Config  84 | WITHOUT OT (PLAIN)   |    27.78 sec | ✅
Config  84 | WITH OT              |    26.81 sec | ✅
Config  85 | WITHOUT OT (PLAIN)   |    26.35 sec | ✅
Config  85 | WITH OT              |    26.32 sec | ✅
Config  86 | WITHOUT OT (PLAIN)   |    19.62 sec | ✅
Config  86 | WITH OT              |    26.48 sec | ✅
Config  87 | WITHOUT OT (PLAIN)   |    26.64 sec | ✅
Config  87 | WITH OT              |    27.15 sec | ✅
